matrix,rows,cols,nnz_a,acc_bytes,acc_kib,l2_bytes,acc_over_l2
2cubes_sphere,101492,101492,1647264,405968,396.45,524288,0.774323
amazon0312,400727,400727,3200440,1602908,1565.34,524288,3.057304
ca-CondMat,23133,23133,186936,92532,90.36,524288,0.176491
cage12,130228,130228,2032536,520912,508.70,524288,0.993561
cit-Patents,3774768,3774768,16518948,15099072,14745.19,524288,28.799194
cop20k_A,121192,121192,2624331,484768,473.41,524288,0.924622
email-Enron,36692,36692,367662,146768,143.33,524288,0.279938
filter3D,106437,106437,2707179,425748,415.77,524288,0.812050
m133-b3,200200,200200,800800,800800,782.03,524288,1.527405
mario002,389874,389874,2101242,1559496,1522.95,524288,2.974503
offshore,259789,259789,4242673,1039156,1014.80,524288,1.982033
p2p-Gnutella31,62586,62586,147892,250344,244.48,524288,0.477493
patents_main,240547,240547,560943,962188,939.64,524288,1.835228
poisson3Da,13514,13514,352762,54056,52.79,524288,0.103104
roadNet-CA,1971281,1971281,5533214,7885124,7700.32,524288,15.039680
scircuit,170998,170998,958936,683992,667.96,524288,1.304611
web-Google,916428,916428,5105039,3665712,3579.80,524288,6.991791
webbase-1M,1000005,1000005,3105536,4000020,3906.27,524288,7.629433
wiki-Vote,8297,8297,103689,33188,32.41,524288,0.063301
