sweep,kernel,swept,acc_elems,n,time_s,ns_per_elem,melem_per_s,cycles,instructions,stalls_backend,perf_mux
fill,scalar,1,4096,1048576,0.006989319,6.6655,150.03,2241755110,2100551309,716826569,1.0000
fill,rvv,2,4096,1048576,0.017468370,16.6591,60.03,5605333235,1790786633,4276049254,1.0000
fill,rvv,4,4096,1048576,0.009804008,9.3498,106.95,3143479598,895490759,2474986519,1.0000
fill,rvv,8,4096,1048576,0.006033188,5.7537,173.80,1930114285,447587579,1592303674,1.0000
fill,rvv,8,4096,1048576,0.005907570,5.6339,177.50,1927931258,430146910,1557558071,1.0000
wss,scalar,16,4096,1048576,0.006584676,6.2796,159.24,2278410453,2137062655,606906389,1.0000
wss,rvv,16,4096,1048576,0.005502136,5.2472,190.58,1844689399,440779951,1439608249,1.0000
wss,scalar,256,65536,1048576,0.034001901,32.4267,30.84,11122793294,2135123811,9275810203,1.0000
wss,rvv,256,65536,1048576,0.034160330,32.5778,30.70,10971623695,433917763,10530060155,1.0000
wss,scalar,1024,262144,1048576,0.141809598,135.2402,7.39,45453696139,2157022225,43291905638,1.0000
wss,rvv,1024,262144,1048576,0.142345900,135.7516,7.37,45632126842,479805977,44815294455,1.0000
wss,scalar,8192,2097152,1048576,0.218848641,208.7103,4.79,70115340394,2187362667,67579192852,1.0000
wss,rvv,8192,2097152,1048576,0.230955660,220.2565,4.54,74258951060,580687146,72733028160,1.0000
wss,scalar,65536,16777216,1048576,0.235990739,225.0583,4.44,75617458879,2195679090,73002730985,1.0000
wss,rvv,65536,16777216,1048576,0.254778075,242.9753,4.12,82028653213,622481538,80280168435,1.0000
