matrix,build,arm,kernel,cflags,dtype,threads,lmul,runs,time_median_s,time_mean_s,time_std_s,time_min_s,time_max_s,time_iqr_s,time_rel_spread,gops_median,gops_mean,gops_std,gops_min,gops_max,speedup_vs_baseline,speedup_ci_lo,speedup_ci_hi,speedup_significant,speedup_vs_scalar_same_build,speedup_vs_1thread,parallel_efficiency,nnz_c,op_mean,op_max,op_var,cycles_median,instructions_median,ipc,stalls_backend_median,backend_stall_frac,perf_mux_min,cycles_per_nnz_c,march,cc_version,status
2cubes_sphere,gcv,intrinsic,rvv_f32_m1,-,f32,1,1,10,0.553298440,0.553982302,0.001440015,0.552590007,0.556752729,0.001753847,0.0075,0.0992,0.0991,0.0003,0.0986,0.0994,0.9949,0.9922,0.9991,yes,0.9949,1.0000,1.0000,8974526,270.4706,544,2336.8139,885030104,159136177,0.1798,768701989,0.8686,1.0000,98.6158,-march=rv64gcv -mabi=lp64d,16.1.0,FAIL
2cubes_sphere,gcv,intrinsic,rvv_f32_m2,-,f32,1,2,10,0.544733592,0.545493681,0.001615710,0.544019458,0.548212275,0.003185567,0.0077,0.1008,0.1007,0.0003,0.1001,0.1009,1.0106,1.0054,1.0151,yes,1.0106,1.0000,1.0000,8974526,270.4706,544,2336.8139,871237576,135976311,0.1561,769441702,0.8832,1.0000,97.0790,-march=rv64gcv -mabi=lp64d,16.1.0,FAIL
2cubes_sphere,gcv,intrinsic,rvv_f32_m4,-,f32,1,4,10,0.579290715,0.580111226,0.001745325,0.578588638,0.583146431,0.003725002,0.0079,0.0948,0.0946,0.0003,0.0941,0.0949,0.9503,0.9464,0.9545,yes,0.9503,1.0000,1.0000,8974526,270.4706,544,2336.8139,926565414,127498077,0.1376,835314174,0.9015,1.0000,103.2439,-march=rv64gcv -mabi=lp64d,16.1.0,FAIL
2cubes_sphere,gcv,autovec,scalar_f32,-,f32,1,,10,0.550494741,0.551327229,0.001381688,0.549670625,0.553664485,0.002581525,0.0073,0.0997,0.0996,0.0002,0.0992,0.0999,1.0000,1.0000,1.0000,,1.0000,1.0000,1.0000,8974526,270.4706,544,2336.8139,880526334,414568214,0.4708,583161314,0.6623,1.0000,98.1140,-march=rv64gcv -mabi=lp64d,16.1.0,ok
2cubes_sphere,gcv,baseline,scalar_f32,-fno-tree-vectorize -fno-tree-slp-vectorize,f32,1,,10,0.550945238,0.551765634,0.001876733,0.549763542,0.555515760,0.002848907,0.0104,0.0996,0.0995,0.0003,0.0988,0.0999,0.9992,0.9951,1.0037,no,0.9992,1.0000,1.0000,8974526,270.4706,544,2336.8139,881097872,414555802,0.4705,584677988,0.6636,1.0000,98.1776,-march=rv64gcv -mabi=lp64d,16.1.0,ok
2cubes_sphere,gcv,omp,scalar_omp_f32,-fopenmp,f32,1,,10,0.548183173,0.558647465,0.021589299,0.547639446,0.617236282,0.004442143,0.1270,0.1001,0.0984,0.0035,0.0889,0.1003,1.0042,0.9768,1.0085,no,1.0042,1.0000,1.0000,8974526,270.4706,544,2336.8139,877019103,414618094,0.4728,579210646,0.6604,1.0000,97.7232,-march=rv64gcv -mabi=lp64d,16.1.0,ok
2cubes_sphere,gcv,omp,scalar_omp_f32,-fopenmp,f32,2,,10,0.588755458,0.589149302,0.001237702,0.587536441,0.591565891,0.001430254,0.0068,0.0932,0.0932,0.0002,0.0928,0.0934,0.9350,0.9330,0.9390,yes,0.9350,0.9311,0.4655,8974526,270.4706,544,2336.8139,485462047,210263566,0.4331,328249806,0.6762,1.0000,54.0933,-march=rv64gcv -mabi=lp64d,16.1.0,ok
2cubes_sphere,gcv,omp,scalar_omp_f32,-fopenmp,f32,4,,10,0.589874717,0.591132887,0.002773480,0.588169816,0.596385266,0.004557651,0.0139,0.0930,0.0929,0.0004,0.0921,0.0933,0.9332,0.9274,0.9377,yes,0.9332,0.9293,0.2323,8974526,270.4706,544,2336.8139,242213675,105831738,0.4369,162607263,0.6713,1.0000,26.9890,-march=rv64gcv -mabi=lp64d,16.1.0,ok
2cubes_sphere,gcv,omp,scalar_omp_f32,-fopenmp,f32,8,,10,0.591323769,0.591246894,0.002584993,0.588469871,0.597725432,0.003325184,0.0157,0.0928,0.0929,0.0004,0.0919,0.0933,0.9310,0.9294,0.9370,yes,0.9310,0.9270,0.1159,8974526,270.4706,544,2336.8139,128810670,53787104,0.4176,88063364,0.6837,1.0000,14.3529,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,intrinsic,rvv_f32_m1,-,f32,1,1,10,2.867929327,2.883066276,0.045402949,2.865542321,3.019120894,0.004272124,0.0536,0.0198,0.0197,0.0003,0.0188,0.0198,0.8678,0.8670,0.8688,yes,0.8678,1.0000,1.0000,14390544,70.8198,100,1020.3437,4587286734,265589360,0.0579,4350391824,0.9484,1.0000,318.7709,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,intrinsic,rvv_f32_m2,-,f32,1,2,10,2.903984544,2.904372555,0.001068671,2.902681934,2.906253600,0.001573740,0.0012,0.0195,0.0195,0.0000,0.0195,0.0196,0.8570,0.8565,0.8575,yes,0.8570,1.0000,1.0000,14390544,70.8198,100,1020.3437,4644640272,229689470,0.0495,4437350238,0.9554,1.0000,322.7564,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,intrinsic,rvv_f32_m4,-,f32,1,4,10,3.039933757,3.039766575,0.000968654,3.037693096,3.041084982,0.001356086,0.0011,0.0187,0.0187,0.0000,0.0187,0.0187,0.8187,0.8184,0.8193,yes,0.8187,1.0000,1.0000,14390544,70.8198,100,1020.3437,4862167998,230804404,0.0475,4649848820,0.9563,1.0000,337.8724,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,autovec,scalar_f32,-,f32,1,,10,2.488836045,2.499879517,0.032929415,2.487664655,2.598626270,0.002145459,0.0446,0.0228,0.0227,0.0003,0.0218,0.0228,1.0000,1.0000,1.0000,,1.0000,1.0000,1.0000,14390544,70.8198,100,1020.3437,3980411501,512800811,0.1288,3578621189,0.8991,1.0000,276.5991,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,baseline,scalar_f32,-fno-tree-vectorize -fno-tree-slp-vectorize,f32,1,,10,2.482197329,2.482894496,0.001655176,2.481663424,2.486587384,0.000818619,0.0020,0.0229,0.0229,0.0000,0.0228,0.0229,1.0027,1.0021,1.0033,yes,1.0027,1.0000,1.0000,14390544,70.8198,100,1020.3437,3969888808,512450518,0.1291,3570555464,0.8994,1.0000,275.8679,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,omp,scalar_omp_f32,-fopenmp,f32,1,,10,2.627704043,2.628359846,0.001710512,2.625557940,2.631079699,0.003256433,0.0021,0.0216,0.0216,0.0000,0.0216,0.0216,0.9472,0.9462,0.9478,yes,0.9472,1.0000,1.0000,14390544,70.8198,100,1020.3437,4202725616,512722700,0.1220,3799584770,0.9041,1.0000,292.0477,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,omp,scalar_omp_f32,-fopenmp,f32,2,,10,2.738032967,2.739262670,0.003557385,2.734526007,2.747707191,0.002251494,0.0048,0.0207,0.0207,0.0000,0.0207,0.0208,0.9090,0.9081,0.9095,yes,0.9090,0.9597,0.4799,14390544,70.8198,100,1020.3437,2141427820,275693222,0.1287,1897900200,0.8863,1.0000,148.8080,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,omp,scalar_omp_f32,-fopenmp,f32,4,,10,2.717325932,2.731233758,0.040825079,2.716167333,2.853635020,0.003503462,0.0506,0.0209,0.0208,0.0003,0.0199,0.0209,0.9159,0.9151,0.9166,yes,0.9159,0.9670,0.2418,14390544,70.8198,100,1020.3437,896039330,128003360,0.1429,784956928,0.8760,1.0000,62.2658,-march=rv64gcv -mabi=lp64d,16.1.0,ok
amazon0312,gcv,omp,scalar_omp_f32,-fopenmp,f32,8,,10,2.704663591,2.723353224,0.045519371,2.702857655,2.855289922,0.003819317,0.0564,0.0210,0.0209,0.0003,0.0199,0.0210,0.9202,0.9135,0.9212,yes,0.9202,0.9715,0.1214,14390544,70.8198,100,1020.3437,332522840,52164332,0.1569,288576856,0.8678,1.0000,23.1070,-march=rv64gcv -mabi=lp64d,16.1.0,ok
ca-CondMat,gcv,intrinsic,rvv_f32_m1,-,f32,1,1,10,0.254661728,0.254969864,0.000871639,0.253993517,0.257165040,0.000822160,0.0125,0.0324,0.0324,0.0001,0.0321,0.0325,0.8869,0.8838,0.8886,yes,0.8869,1.0000,1.0000,2355437,178.4258,8467,119749.1689,407288530,32962018,0.0809,380636075,0.9346,1.0000,172.9142,-march=rv64gcv -mabi=lp64d,16.1.0,ok
ca-CondMat,gcv,intrinsic,rvv_f32_m2,-,f32,1,2,10,0.255237945,0.255790353,0.001524869,0.254520945,0.258901645,0.001126684,0.0172,0.0324,0.0323,0.0002,0.0319,0.0324,0.8849,0.8797,0.8879,yes,0.8849,1.0000,1.0000,2355437,178.4258,8467,119749.1689,408152272,29526812,0.0723,384603810,0.9423,1.0000,173.2809,-march=rv64gcv -mabi=lp64d,16.1.0,ok
