matrix,rows,nnz_a,intermediate_products,plain_mean_nnz_row,exec_weighted_mean_row,work_frac_len_lt_8,work_frac_len_lt_16,work_frac_len_lt_32
2cubes_sphere,101492,1647264,27450606,16.2305,16.6644,0.000049,0.164076,1.000000
amazon0312,400727,3200440,28379421,7.9866,8.8673,0.109600,1.000000,1.000000
ca-CondMat,23133,186936,4127524,8.0809,22.0799,0.059356,0.195304,0.437801
cage12,130228,2032536,34610826,15.6075,17.0284,0.004002,0.283281,0.998135
cit-Patents,3774768,16518948,82152992,4.3761,4.9733,0.331070,0.709421,0.904511
cop20k_A,121192,2624331,79883385,21.6543,30.4395,0.000000,0.011058,0.464647
email-Enron,36692,367662,51501448,10.0202,140.0782,0.005972,0.014404,0.033270
filter3D,106437,2707179,85957185,25.4346,31.7516,0.000000,0.026098,0.503191
m133-b3,200200,800800,3203200,4.0000,4.0000,1.000000,1.000000,1.000000
mario002,389874,2101242,12829364,5.3895,6.1056,1.000000,1.000000,1.000000
offshore,259789,4242673,71342515,16.3312,16.8155,0.000095,0.167330,1.000000
p2p-Gnutella31,62586,147892,538318,2.3630,3.6399,0.030759,0.957932,0.984309
patents_main,240547,560943,2604790,2.3319,4.6436,0.501215,0.844128,0.972970
poisson3Da,13514,352762,11768678,26.1034,33.3615,0.000099,0.020304,0.492116
roadNet-CA,1971281,5533214,17523394,2.8069,3.1669,0.999866,1.000000,1.000000
scircuit,170998,958936,8676313,5.6079,9.0479,0.377658,0.594995,0.753687
web-Google,916428,5105039,60687836,5.5706,11.8878,0.099159,0.432587,0.862046
webbase-1M,1000005,3105536,69524195,3.1055,22.3872,0.100935,0.133846,0.177678
wiki-Vote,8297,103689,4542805,12.4972,43.8118,0.011449,0.034872,0.093329
